Sun 28 Sep , Mito Hollyhock , 2 - 0 , Fujieda MYFC
Sun 28 Sep , Kataller Toyama , 1 - 3 , Tokushima V.
Sat 4 Oct , C. Sapporo , 1 - 2 , M. Yamagata
Sat 4 Oct , Fujieda MYFC , 0 - 1 , Kataller Toyama
Sat 4 Oct , JEF Utd Chiba , 0 - 2 , Nagasaki
Sat 4 Oct , Vegalta Sendai , 1 - 2 , Omiya Ardija
Sat 4 Oct , Ventforet Kofu , 0 - 1 , Jubilo Iwata
Sun 5 Oct , Blaublitz Akita , 0 - 0 , Oita Trinita
Sun 5 Oct , R. Yamaguchi , 1 - 2 , Sagan Tosu
Sun 5 Oct , Tokushima V. , 1 - 0 , FC Imabari
Sun 5 Oct , R. Kumamoto , 0 - 2 , Iwaki
Sun 5 Oct , Ehime FC , 1 - 3 , Mito Hollyhock
Sat 18 Oct , Iwaki , 2 - 1 , Ehime FC
Sat 18 Oct , Omiya Ardija , 1 - 0 , Fujieda MYFC
Sat 18 Oct , Sagan Tosu , 1 - 0 , Blaublitz Akita
Sat 18 Oct , Jubilo Iwata , 0 - 4 , Tokushima V.
Sat 18 Oct , V-V. Nagasaki , 4 - 0 , Ventforet Kofu
Sun 19 Oct , Kataller Toyama , 0 - 2 , C. Sapporo
Sun 19 Oct , FC Imabari , 1 - 1 , R. Yamaguchi
Sun 19 Oct , M. Yamagata , 1 - 1 , R. Kumamoto
Sun 19 Oct , Oita Trinita , 0 - 0 , Vegalta Sendai
Sun 19 Oct , Mito Hollyhock , 0 - 1 , JEF Utd Chiba
Sat 25 Oct , Fujieda MYFC , 1 - 1 , Ventforet Kofu
Sat 25 Oct , V-V. Nagasaki , 1 - 1 , FC Imabari
Sun 26 Oct , C. Sapporo , 0 - 1 , Mito Hollyhock
Sun 26 Oct , M. Yamagata , 2 - 2 , Omiya Ardija
Sun 26 Oct , Tokushima V. , 0 - 1 , Iwaki
Sun 26 Oct , Blaublitz Akita , 0 - 0 , JEF Utd Chiba
Sun 26 Oct , R. Kumamoto , 0 - 1 , Oita Trinita
Sun 26 Oct , R. Yamaguchi , 1 - 0 , Kataller Toyama
Sun 26 Oct , Vegalta Sendai , 3 - 2 , Sagan Tosu
Sun 26 Oct , Ehime FC , 1 - 3 , Jubilo Iwata
Sun 2 Nov , FC Imabari , 3 - 2 , Vegalta Sendai
Sun 2 Nov , Iwaki , 3 - 1 , Fujieda MYFC
Sun 2 Nov , JEF Utd Chiba , 5 - 2 , C. Sapporo
Sun 2 Nov , Jubilo Iwata , 1 - 0 , Nagasaki
Sun 2 Nov , Kataller Toyama , 1 - 1 , Ehime FC
Sun 2 Nov , Omiya Ardija , 5 - 0 , Blaublitz Akita
Sun 2 Nov , R. Kumamoto , 0 - 1 , R. Yamaguchi
Sun 2 Nov , Sagan Tosu , 0 - 0 , Tokushima V.
Sun 2 Nov , Ventforet Kofu , 0 - 1 , Mito Hollyhock
Sun 2 Nov , Oita Trinita , 1 - 2 , M. Yamagata
Sat 8 Nov , C. Sapporo , 3 - 1 , Oita Trinita
Sat 8 Nov , Ehime FC , 0 - 4 , Nagasaki
Sun 9 Nov , Kataller Toyama , 3 - 1 , Sagan Tosu
Sun 9 Nov , Vegalta Sendai , 2 - 0 , R. Kumamoto
Sun 9 Nov , Blaublitz Akita , 2 - 0 , Iwaki
Sun 9 Nov , JEF Utd Chiba , 1 - 1 , Fujieda MYFC
Sun 9 Nov , M. Yamagata , 2 - 1 , FC Imabari
Sun 9 Nov , Mito Hollyhock , 0 - 2 , Omiya Ardija
Sun 9 Nov , R. Yamaguchi , 1 - 2 , Jubilo Iwata
Sun 9 Nov , Tokushima V. , 4 - 1 , Ventforet Kofu
